Gene,log2FoldChange,pvalue,padj
4833422M21Rik,0.188,0.79,0.949
4921514A10Rik,0.367,0.403,0.789
4921504A21Rik,0.433,0.000649,0.0377
Gm16617,0.417,0.493,0.839
Gm26826,-0.185,0.822,0.958
Mirt1,-0.464,0.58,0.881
4933417D19Rik,-0.0995,0.89,0.974
Gm20033,0.372,0.0536,0.377
A130051J06Rik,-0.518,0.272,0.696
Gm26862,0.0364,0.882,0.971
Gm10561,0.105,0.786,0.949
Mhrt,0.279,0.0112,0.183
Gm26714,0.0499,0.872,0.968
Gm2093,-0.224,0.72,0.927
A330094K24Rik,0.0424,0.794,0.951
Gm26608,-0.922,0.256,0.685
1700101I11Rik,-0.0629,0.811,0.955
Gm26642,-0.148,0.574,0.878
Gm26645,-0.759,0.38,0.776
A230060F14Rik,0.126,0.79,0.95
4833412C05Rik,-0.278,0.651,0.908
5430400D12Rik,-0.471,0.514,0.85
Gm26740,-0.563,0.175,0.599
E030037K01Rik,0.222,0.656,0.909
2810429I04Rik,-0.0521,0.935,0.984
Gm10532,0.023,0.966,0.992
Gm26850,0.265,0.666,0.911
F630040K05Rik,-0.141,0.712,0.925
2310015A10Rik,0.205,0.0276,0.284
Gm26588,-0.521,0.405,0.79
E030044B06Rik,0.22,0.424,0.802
Gm16973,0.0868,0.585,0.885
Gm6225,-0.0464,0.875,0.969
Gm4673,-0.0884,0.481,0.833
A730056A06Rik,0.0725,0.713,0.925
6030442K20Rik,0.143,0.752,0.938
4732463B04Rik,-0.55,0.216,0.646
Miat,-0.462,0.438,0.811
2310043M15Rik,-0.267,0.643,0.906
5430416N02Rik,-0.0942,0.625,0.9
Gm10614,0.137,0.765,0.942
Gm26795,0.218,0.0314,0.301
Gm16794,0.05,0.862,0.967
4833407H14Rik,-0.386,0.766,0.942
9330136K24Rik,-0.117,0.769,0.944
A430105J06Rik,-0.582,0.361,0.763
B230217O12Rik,-0.0686,0.775,0.945
Sgms1os1,-0.0476,0.768,0.943
Ctxnd1,-0.0593,0.853,0.965
Gm27042,-0.0893,0.745,0.936
Gm17259,0.206,0.336,0.744
Gm16685,-0.261,0.423,0.802
Gm17473,-0.071,0.816,0.957
Gm6556,-0.234,0.693,0.919
Gm26811,0.697,0.0646,0.407
Gm26813,-0.435,0.806,0.953
E530011L22Rik,0.145,0.216,0.645
Gm16701,-0.029,0.918,0.981
5330439K02Rik,0.558,0.454,0.82
6430562O15Rik,0.184,0.462,0.824
Gm26912,0.593,0.459,0.823
Gm26910,0.117,0.617,0.898
9330104G04Rik,0.253,0.419,0.798
A930007I19Rik,0.0575,0.8,0.952
1010001B22Rik,-2.82,0.011,0.182
C030010L15Rik,-0.0214,0.968,0.993
Gm26704,-1.03,0.123,0.525
Gm16892,0.253,0.344,0.751
Gm26703,0.18,0.54,0.863
0610038B21Rik,0.315,0.134,0.542
5031434O11Rik,-0.11,0.501,0.842
Gm26682,1,0.127,0.532
4930547M16Rik,-0.269,0.676,0.915
1700034P13Rik,-0.757,0.142,0.554
Gm8652,0.139,0.828,0.96
Gm9625,-0.05,0.917,0.981
4933404O12Rik,-0.0113,0.959,0.99
Hdnr,0.117,0.346,0.752
Gm26691,0.722,0.332,0.743
A330009N23Rik,-0.159,0.324,0.735
Gm26576,0.406,0.561,0.872
A730020E08Rik,-0.258,0.725,0.929
Gm26574,0.0278,0.973,0.994
Gm26575,0.411,0.443,0.814
A130014A01Rik,0.147,0.243,0.671
A330074K22Rik,-0.381,0.24,0.669
Gm10605,-0.0301,0.926,0.983
Gm4691,-0.137,0.838,0.962
Gm19557,-0.476,0.0491,0.362
Ptprv,-0.204,0.608,0.896
Gm26982,0.404,0.101,0.487
Gm27048,-0.533,0.463,0.824
Gm9522,0.233,0.881,0.971
Zfp82,-0.779,0.106,0.498
Gm27003,0.338,0.509,0.846
Gm20757,0.455,0.551,0.868
Gm26981,0.063,0.853,0.965
Gm5345,-0.345,0.537,0.861
Gm26947,-0.448,0.148,0.562
Gm26944,0.327,0.75,0.937
Gm6981,0.489,0.387,0.78
Bvht,0.0751,0.637,0.904
Gm4654,-0.36,0.587,0.885
Bin2,-0.836,0.03,0.294
Rassf10,0.142,0.487,0.836
Rnf113a2,-0.117,0.153,0.569
Gm4804,0.212,0.478,0.832
Ccdc166,-0.232,0.175,0.599
Gm27010,0.532,0.26,0.687
Sowahc,-0.689,0.00315,0.0967
Gm26984,-1.2,0.191,0.616
Mir181a-1hg,-0.0417,0.947,0.987
Gm27045,0.341,0.551,0.868
Snhg6,-0.0656,0.657,0.91
Rpl24,0.00497,0.914,0.98
A330093E20Rik,0.386,0.53,0.858
Lockd,-0.885,0.083,0.452
Pigbos1,-0.122,0.302,0.719
Gm28043,0.191,0.681,0.916
Mrip-ps,0.578,0.21,0.639
Gm27202,-0.142,0.747,0.936
Gm7467,-0.641,0.36,0.763
Pla2g4b,0.321,0.123,0.524
Kctd12,-0.155,0.156,0.573
Anxa11os,-0.739,0.338,0.745
Gm27209,0.237,0.635,0.903
Mroh6,-0.0718,0.952,0.988
1500015A07Rik,-0.0107,0.958,0.99
Gm27252,-0.103,0.614,0.897
Gm28053,-0.0562,0.936,0.985
Jmjd7,-0.188,0.533,0.859
Igkv19-93,-2.85,0.392,0.782
Gm21013,1.26,0.346,0.752
Gm18190,0.418,0.391,0.781
Zfp953,-0.396,0.0393,0.331
1500004A13Rik,0.0365,0.812,0.955
Tmem185b,0.0681,0.402,0.788
Gvin-ps4,0.71,0.28,0.702
Gm28036,-0.0369,0.951,0.988
Tcf24,-0.0024,0.993,0.998
2810039B14Rik,0.118,0.598,0.891
Gm28035,0.0000691,1,1
Atf7,0.157,0.000704,0.0395
1110035H17Rik,-0.766,0.257,0.685
Gm11983,0.98,0.231,0.66
Gm10603,-0.111,0.615,0.897
Gvin-ps2,-0.0426,0.941,0.986
2810030D12Rik,-0.279,0.301,0.718
Gm28187,-0.842,0.0772,0.438
Ms4a14,-0.0255,0.942,0.986
2310015D24Rik,-0.0309,0.867,0.968
Gm29340,-0.0214,0.98,0.995
Gm28370,0.00924,0.959,0.99
Xndc1,-0.0829,0.493,0.839
H3c8,0.367,0.684,0.916
Gm29253,1.82,0.129,0.535
Gm29040,0.319,0.631,0.901
H3c4,-0.59,0.105,0.497
Gm29188,-0.318,0.582,0.882
Gm7889,-0.251,0.387,0.78
2900093K20Rik,-0.336,0.271,0.695
2310034G01Rik,-0.315,0.296,0.715
1700052K11Rik,-0.112,0.422,0.801
Zfp383,0.0856,0.278,0.701
2900052N01Rik,-0.459,0.295,0.714
Gm29154,-0.723,0.221,0.65
BE692007,-1.06,0.0000141,0.00336
1700030C10Rik,-0.136,0.637,0.904
Gm28800,-0.309,0.647,0.907
Rps10-ps2,0.21,0.332,0.743
Gm29668,-0.0338,0.96,0.991
Gm7160,0.0787,0.711,0.925
Gm6652,-0.069,0.828,0.96
2810013P06Rik,0.0759,0.414,0.795
Gm28551,-0.214,0.578,0.88
1700105P06Rik,-0.153,0.627,0.9
Gm28867,0.203,0.597,0.891
2810402E24Rik,-0.0299,0.792,0.95
Bcl2a1d,-0.639,0.401,0.788
Gm29642,-0.223,0.542,0.864
B130024G19Rik,0.00213,0.99,0.996
Gm7967,-0.215,0.78,0.947
2410022M11Rik,-0.0713,0.599,0.892
Gm28154,-0.227,0.726,0.93
1700018L02Rik,0.583,0.0163,0.222
2310068J16Rik,0.00347,0.99,0.996
1810008I18Rik,-0.0591,0.945,0.986
Gm28439,0.788,0.373,0.771
Gm6445,-0.192,0.676,0.915
1700047M11Rik,-0.134,0.647,0.907
Ppp1ccb,-0.123,0.598,0.891
2610306M01Rik,0.11,0.455,0.82
Gm28719,-0.439,0.566,0.875
1810006J02Rik,0.0275,0.956,0.99
Gm28512,-0.815,0.259,0.687
Gm20324,-0.0759,0.919,0.981
H3c7,-0.247,0.635,0.903
Gm28151,-0.0842,0.817,0.957
Gm28557,-0.247,0.572,0.878
Slc18a3,0.69,0.602,0.893
Gm28417,-0.356,0.41,0.793
4930422M22Rik,0.000296,1,1
2310069B03Rik,-0.38,0.339,0.747
Gm29417,0.116,0.807,0.954
Gm7895,0.042,0.945,0.986
Rbm6-ps2,1.49,0.116,0.514
2310020H05Rik,0.197,0.214,0.643
Gm29170,0.0109,0.93,0.984
D830032E09Rik,-0.0733,0.649,0.908
Gm29264,0.6,0.311,0.725
Gm13283,-0.0947,0.875,0.969
Hand2os1,0.0499,0.556,0.87
Gm12960,-2.83,0.00864,0.162
Gm29483,-0.4,0.537,0.862
2310039L15Rik,-0.00701,0.96,0.991
Vmn1r90,-0.169,0.839,0.963
2810414N06Rik,-0.365,0.0394,0.332
1700120C14Rik,-0.0556,0.707,0.924
Gm28374,-0.348,0.691,0.919
Gm28192,-0.629,0.141,0.552
9430060I03Rik,-1,0.199,0.627
F730311O21Rik,-0.253,0.23,0.66
1810044D09Rik,-0.0466,0.848,0.964
2010320M18Rik,0.0392,0.655,0.909
Gm28523,0.482,0.0425,0.342
1700084E18Rik,-0.385,0.0998,0.486
Rps23-ps1,-0.00549,0.994,0.998
Gm28231,-0.6,0.0578,0.39
2310047D07Rik,-0.0124,0.974,0.994
Gm15459,-0.021,0.89,0.974
Gm28874,0.109,0.79,0.949
Snhg14,0.297,0.00234,0.0814
Gm12669,0.039,0.94,0.986
Gm9320,-0.507,0.232,0.662
2810454H06Rik,0.136,0.599,0.892
Gm28536,-0.738,0.0922,0.47
Nscme3l,0.188,0.608,0.896
Gm10138,-0.057,0.706,0.924
Gm29666,0.154,0.533,0.859
Gm28875,-0.144,0.496,0.84
1700108F19Rik,1.2,0.089,0.464
A630072M18Rik,0.223,0.315,0.728
Gm28723,-0.415,0.505,0.843
Gm28424,0.265,0.428,0.804
Gm29007,0.0796,0.742,0.935
Gm28651,0.251,0.0386,0.329
Gm28609,-0.0878,0.606,0.896
Gm17971,-0.0253,0.945,0.986
Gm29050,-0.0216,0.982,0.995
Gm28496,0.961,0.358,0.761
Gm28535,0.13,0.919,0.981
Hoxd4,0.00743,0.986,0.996
Eif4a-ps4,0.181,0.388,0.781
Gm28720,0.0421,0.938,0.985
1700008J07Rik,-0.0462,0.766,0.943
Gm29216,-0.213,0.181,0.606
2310015K22Rik,0.498,0.0511,0.37
Plet1os,-0.336,0.00979,0.173
Gm12663,3.36,0.000631,0.0377
Gm28529,0.382,0.0524,0.373
Gm28229,0.0824,0.769,0.944
Dnah7c,0.727,0.291,0.712
Ms4a4a,-0.00249,0.994,0.998
Gm28941,-0.502,0.206,0.634
Gm3052,0.111,0.798,0.952
Gm18448,1.27,0.00921,0.168
2810405F17Rik,0.0421,0.892,0.974
4732465J04Rik,0.129,0.8,0.952
Csnk2a1-ps3,0.329,0.241,0.67
1600010M07Rik,0.359,0.623,0.899
Gm29017,0.39,0.48,0.832
Gm20342,0.0997,0.443,0.814
Kcnq1ot1,-0.143,0.201,0.63
Gm7933,0.275,0.673,0.913
1700066B17Rik,-0.155,0.792,0.95
Gm29560,0.972,0.132,0.54
2310040G24Rik,-0.00838,0.943,0.986
Gm18666,0.387,0.0251,0.272
Gm29609,0.374,0.527,0.856
Gm19461,0.299,0.00128,0.0568
Gm29438,-0.193,0.774,0.945
Gm28386,-0.0983,0.906,0.978
1700096K18Rik,0.0691,0.663,0.911
Mindy4b-ps,0.228,0.642,0.905
Gm29237,0.0974,0.502,0.842
9130401M01Rik,0.0303,0.769,0.944
Gm28438,0.194,0.536,0.861
Gm28979,-0.0842,0.838,0.962
Chaserr,0.0807,0.25,0.678
Gm29480,0.405,0.702,0.923
2900009J06Rik,0.396,0.519,0.852
Iqank1,-0.301,0.493,0.839
Bcl2a1a,0.0299,0.971,0.993
Gm29246,0.167,0.72,0.927
Gm28661,0.358,0.651,0.908
Or5m9,-0.4,0.168,0.59
C730036E19Rik,0.872,0.184,0.609
A930006L05Rik,0.531,0.61,0.897
2310016D03Rik,-0.543,0.191,0.616
Zbtb11os1,-0.119,0.327,0.737
1810041H14Rik,0.91,0.366,0.767
Gm38057,0.129,0.601,0.893
Gm38056,-0.231,0.48,0.832
Gm37472,0.132,0.827,0.96
Gm37475,-0.982,0.359,0.762
Gm37474,0.708,0.232,0.661
Gm33280,-0.423,0.283,0.705
Pcdhga10,-0.383,0.288,0.71
Gm37890,-0.364,0.609,0.897
Snrpn,0.0778,0.526,0.856
D330025C20Rik,-0.0695,0.597,0.891
Gm7357,0.12,0.811,0.955
Gm37144,-0.255,0.653,0.908
Gm38190,0.103,0.543,0.864
Gm38192,0.334,0.359,0.762
Gm37626,-1.07,0.155,0.571
Gm19721,0.155,0.718,0.927
Gm37788,0.413,0.628,0.901
Gm10851,-2.51,0.0648,0.407
Gm37233,-0.367,0.19,0.616
Gm38346,0.0186,0.981,0.995
Gm38345,-0.525,0.595,0.89
Gm38387,-0.366,0.481,0.833
Gm37975,-2.72,0.0668,0.413
D630023O14Rik,0.764,0.394,0.783
Gm36936,-0.162,0.37,0.769
Sh2d1b1,-1.05,0.0992,0.484
Gm26616,0.0763,0.875,0.969
Pcdhga12,-0.161,0.179,0.604
Pcdhga9,0.431,0.105,0.496
Gm38197,0.265,0.606,0.896
Gm36989,0.213,0.516,0.85
Gm21955,-0.0289,0.897,0.975
Gm38340,0.0571,0.852,0.965
Gm37785,0.431,0.557,0.871
1110002O04Rik,-0.146,0.816,0.957
Gm37226,0.0711,0.826,0.96
Pcdhgc5,0.287,0.0686,0.418
6430573P05Rik,-0.108,0.63,0.901
D930036K23Rik,0.567,0.309,0.724
6430511E19Rik,-0.179,0.711,0.925
Gm37570,0.0972,0.774,0.945
Gm37694,-0.396,0.133,0.541
Gm37035,0.269,0.566,0.875
Gm37968,0.193,0.657,0.91
Gm7265,-1.11,0.199,0.627
Gm37969,-0.367,0.337,0.745
Mannr,0.214,0.771,0.944
Gm38384,-0.223,0.624,0.899
A930004J17Rik,0.0386,0.808,0.954
Gm37844,-0.0801,0.868,0.968
Gm37672,1.35,0.441,0.813
Gm37786,1.05,0.164,0.585
Thap6,0.011,0.906,0.978
Gm38021,0.633,0.368,0.768
Gm38379,-0.595,0.463,0.824
Gm37435,0.64,0.346,0.752
Gm37780,-0.41,0.324,0.735
Dchs2,-0.242,0.387,0.78
Pcdhac2,-0.342,0.506,0.844
Gm38312,0.217,0.743,0.935
Gm38309,-0.0413,0.927,0.983
Gm29994,-0.301,0.592,0.888
Gm37759,0.485,0.542,0.864
Gm37760,0.831,0.186,0.611
Pcdhga11,0.231,0.143,0.555
Pcdhgb2,0.112,0.372,0.77
Gm7694,0.144,0.0455,0.351
Naaladl2,-0.561,0.0792,0.443
Gm38162,0.392,0.492,0.838
Gm38253,-0.729,0.156,0.573
Gm37240,0.183,0.323,0.735
Gm37795,-0.296,0.193,0.619
Pdcd5-ps,-0.152,0.829,0.96
Gm37082,0.79,0.411,0.794
C130023A14Rik,0.491,0.405,0.79
Gm37084,-0.253,0.598,0.891
Gm37637,-0.0368,0.914,0.98
Norad,0.0631,0.15,0.563
Gm3807,-0.0878,0.879,0.97
Gm2065,0.427,0.611,0.897
Ighv1-11,-4.83,0.23,0.659
Gm20731,0.281,0.605,0.895
Pcdhgc3,-0.0121,0.9,0.976
Gm31728,-0.168,0.728,0.93
Gm37154,0.0685,0.897,0.975
Gm38114,0.153,0.867,0.968
Gm37018,-1.41,0.245,0.673
Gm37019,-0.215,0.616,0.898
Gm37015,0.203,0.51,0.846
9430034N14Rik,0.0913,0.856,0.966
Zc3h11a,-0.118,0.229,0.659
A930005N03Rik,0.643,0.246,0.673
4933417C20Rik,-0.102,0.865,0.967
Gm56350,-0.232,0.215,0.644
E330011M16Rik,-0.954,0.0174,0.229
Gm37121,0.243,0.587,0.885
Gm8797,-0.307,0.367,0.768
Pcdhgb1,-0.0294,0.855,0.966
Gm37123,0.386,0.316,0.728
Gm37305,-0.0335,0.832,0.961
Gm37309,0.079,0.763,0.942
Gm37200,-1.56,0.227,0.657
Gm37902,-0.292,0.644,0.906
Pcdhgb8,0.0793,0.609,0.896
Pcdhgb6,0.235,0.148,0.562
Gm38118,-1.05,0.087,0.459
Gm37048,0.198,0.737,0.934
4833445I07Rik,0.507,0.0831,0.452
Gm32200,-0.587,0.414,0.796
Gm37584,0.0112,0.979,0.995
Gm37303,0.0204,0.953,0.989
Gm37979,0.378,0.592,0.888
Gm2238,-0.316,0.52,0.852
Pcdhga1,0.0276,0.879,0.97
AA914427,-0.363,0.474,0.828
C130012C08Rik,-1.45,0.137,0.547
Gm38150,-0.13,0.845,0.964
Gm30948,-2.37,0.327,0.737
Gm37090,0.257,0.119,0.52
Gm37328,0.728,0.227,0.657
Gm38388,0.0975,0.939,0.985
Gm36527,-0.393,0.689,0.918
Gm38091,0.801,0.392,0.782
Ighv1-15,-3.06,0.448,0.817
Gm36981,-0.679,0.255,0.683
Gm37914,0.142,0.824,0.959
Gm37274,0.415,0.41,0.793
BC037039,0.391,0.281,0.702
Gm38357,-0.958,0.0316,0.301
Pcdhga2,0.0773,0.576,0.879
Gm36888,2.02,0.112,0.507
Gm38157,0.188,0.785,0.948
C630004L07Rik,0.86,0.402,0.788
Gm37581,0.502,0.129,0.535
Gm15853,-0.334,0.186,0.611
Gm37931,0.168,0.803,0.953
Lsmem2,0.0373,0.658,0.91
Gm36995,0.345,0.357,0.761
7530428D23Rik,-1.02,0.23,0.66
Gm38245,0.382,0.221,0.65
Gm9910,-0.136,0.625,0.9
Pcdhga7,0.0456,0.721,0.928
Strit1,-0.342,0.179,0.603
Gm10657,-0.396,0.623,0.899
Gm37412,0.218,0.777,0.946
Gm38375,-0.664,0.204,0.633
Gm38372,-0.128,0.876,0.969
1110025M09Rik,-0.526,0.161,0.581
Gm4430,0.166,0.78,0.947
Gm38218,0.221,0.64,0.904
Gm38220,-0.856,0.138,0.549
Pcdhga5,-0.153,0.236,0.666
Pcdhgb4,0.0387,0.809,0.954
5830405F06Rik,0.693,0.104,0.493
Gm37352,0.498,0.141,0.553
Gm38366,-0.144,0.816,0.957
B430319G15Rik,-0.311,0.109,0.505
Gm37768,0.661,0.392,0.782
Gm34294,-0.0149,0.981,0.995
Gm37621,-0.294,0.161,0.581
Pcdhga4,-0.0935,0.643,0.906
Gm37074,0.795,0.135,0.545
Gm37531,-0.0802,0.929,0.983
Gm38020,-0.00817,0.984,0.995
Gm42568,0.417,0.133,0.541
D030062O11Rik,-0.314,0.579,0.881
Tstd1,-0.889,0.139,0.55
4933431K14Rik,-0.0638,0.712,0.925
Gm30074,-0.712,0.226,0.656
Gm17530,0.0798,0.902,0.977
Gm37652,0.205,0.725,0.929
1700001G17Rik,0.484,0.384,0.778
Pcdhgb5,0.19,0.357,0.761
Gm37285,-0.167,0.698,0.921
Gm37856,-0.847,0.395,0.784
Gm10129,0.233,0.29,0.712
Pcdhga6,0.133,0.448,0.817
Gm38009,-0.498,0.596,0.89
D430013B06Rik,-0.109,0.858,0.966
Gm37607,0.332,0.153,0.569
Gm37249,-0.129,0.697,0.921
Gm37415,0.0822,0.898,0.976
Gm37452,0.0206,0.976,0.994
Gm37008,-0.258,0.65,0.908
Pcdhga8,0.0905,0.737,0.934
Gm30238,0.0398,0.855,0.966
Gm37500,0.309,0.681,0.916
Gm37499,-0.655,0.0748,0.433
Tigd5,0.278,0.0694,0.42
Gm6123,0.917,0.00588,0.132
Gm37894,0.898,0.0953,0.479
Gm37893,0.0506,0.708,0.924
Gm36963,-0.114,0.913,0.98
Gm38228,0.0739,0.895,0.975
Gm37268,0.0395,0.95,0.988
Gm10766,0.266,0.659,0.91
Gm37120,-0.111,0.854,0.966
Gm38214,-0.0504,0.952,0.989
BC055308,0.198,0.711,0.925
Gm37677,0.143,0.713,0.925
Gm20045,0.142,0.284,0.705
Gm37447,-0.487,0.482,0.834
Gm38336,0.358,0.462,0.824
Gm37366,-0.42,0.526,0.856
Gm32391,-0.0647,0.607,0.896
4833412K13Rik,0.329,0.374,0.772
5330406M23Rik,0.274,0.658,0.91
Gm17771,0.266,0.73,0.931
Gm37776,-0.146,0.774,0.945
Gm37953,-0.625,0.179,0.604
Pcdhgb7,0.308,0.0149,0.214
Gm37027,-0.253,0.604,0.895
Gm37314,-0.345,0.411,0.794
Gm30292,0.0904,0.874,0.969
Gm37296,0.185,0.739,0.934
Gm37140,1.81,0.0917,0.469
Gm44573,0.443,0.516,0.85
Gm38102,0.467,0.0101,0.175
Gm38099,0.35,0.612,0.897
Gm38248,-0.162,0.562,0.873
Gm38250,-0.108,0.649,0.908
Gm37818,-0.138,0.721,0.928
B230377A18Rik,0.0407,0.909,0.979
Gm37397,0.39,0.164,0.584
Ighd,-3,0.000628,0.0377
Gm36638,-0.397,0.442,0.813
Gm7292,0.0706,0.908,0.979
Gm37589,-0.253,0.795,0.951
Gm37587,0.251,0.679,0.915
2900018N21Rik,-0.575,0.486,0.835
Gm38155,0.0446,0.877,0.969
Gm37174,-0.2,0.564,0.874
9430062P05Rik,0.0355,0.813,0.956
Gm37891,0.269,0.545,0.865
Gm38300,0.0747,0.721,0.928
Gm37459,1.01,0.21,0.639
Gm38043,0.244,0.696,0.921
Gm9924,-0.261,0.767,0.943
Gm37320,0.222,0.351,0.757
Gm38285,-0.482,0.572,0.878
Gm38077,0.0781,0.458,0.822
Pcdhga3,-0.0636,0.719,0.927
Gm37691,0.365,0.0007,0.0395
Gm38244,-1.54,0.091,0.467
Gm37125,-0.515,0.501,0.842
Gm37127,0.218,0.554,0.869
Gm38082,0.124,0.795,0.951
Gm37033,0.158,0.744,0.936
Gm37960,-0.854,0.197,0.624
Gm37962,0.0282,0.936,0.985
Gm37254,0.0875,0.695,0.921
Gm37963,-1.01,0.101,0.488
Gm37069,-0.311,0.489,0.837
E230020A03Rik,0.25,0.389,0.781
Gm37422,0.147,0.243,0.671
4932442E05Rik,0.122,0.737,0.934
Rhbg,-1.06,0.507,0.844
Ighv8-8,-2.47,0.54,0.863
Gm37829,0.228,0.0000414,0.00693
Gm37827,0.415,0.215,0.644
Gm37824,0.0381,0.928,0.983
BC002189,0.559,0.000545,0.036
Gm37660,-1.19,0.115,0.512
Gm38211,-0.015,0.987,0.996
A430027H14Rik,-0.0688,0.923,0.982
Gm43314,-0.37,0.501,0.842
Gm42686,0.286,0.732,0.932
Gm43858,0.0828,0.667,0.911
Gm43857,0.318,0.102,0.489
Gm43054,-0.245,0.611,0.897
Gm43010,-0.337,0.847,0.964
Gm42922,0.268,0.618,0.898
Gm43185,0.462,0.102,0.491
Gm43290,1.05,0.248,0.674
Gm43267,0.335,0.39,0.781
Gm43062,-0.307,0.612,0.897
Gm42636,-0.157,0.666,0.911
Gm42815,0.0891,0.864,0.967
Gm42941,-0.516,0.352,0.758
Gm43797,0.46,0.558,0.871
Gbp6,-0.312,0.123,0.524
4933437G19Rik,0.477,0.462,0.824
Gm43138,-0.132,0.856,0.966
Gm33609,-0.506,0.0734,0.429
Gm42937,-0.189,0.648,0.907
Gm43592,-0.423,0.521,0.853
Gm43511,0.673,0.096,0.479
Gm42984,0.119,0.639,0.904
Gm42783,0.499,0.512,0.847
Gm42979,-0.0629,0.682,0.916
Gm42967,-0.205,0.711,0.925
5830487J09Rik,0.185,0.627,0.9
Gm5547,-2.36,0.141,0.552
Gm42901,-0.333,0.363,0.765
Gm42544,-0.541,0.372,0.771
Gm42639,0.0722,0.859,0.966
1700008B11Rik,0.0232,0.974,0.994
Trdc,-0.641,0.392,0.782
2510017J16Rik,0.364,0.409,0.792
Gm6560,-0.299,0.401,0.788
Gm42944,0.00395,0.995,0.998
Gm43388,-0.426,0.878,0.97
Gm42868,-0.434,0.55,0.868
4833413G10Rik,-0.0471,0.824,0.959
Gm43413,0.0107,0.982,0.995
Snhg8,0.00354,0.978,0.995
Gm43437,-0.028,0.938,0.985
Gm43445,-0.374,0.553,0.869
Gm43075,0.0533,0.854,0.966
Gm9484,-0.062,0.93,0.984
Gm43423,0.313,0.621,0.899
Gm42486,0.461,0.584,0.884
Gm42513,0.459,0.549,0.867
A930003O13Rik,0.238,0.64,0.904
Gm42552,0.637,0.318,0.731
8430422M14Rik,0.358,0.0403,0.334
Gbp10,0.0696,0.884,0.971
Gm43412,-0.137,0.834,0.962
Gm42778,0.339,0.344,0.75
Gm43765,-2.48,0.0196,0.242
Gm42870,-2.93,0.0396,0.332
Gm43667,0.184,0.443,0.814
Gm19391,-0.135,0.713,0.925
Gm43127,0.377,0.123,0.525
A530030E21Rik,-3.16,0.0308,0.298
Gm42595,-0.195,0.489,0.837
Gm30735,-0.0712,0.745,0.936
Gm43668,0.0508,0.74,0.935
Gm42502,0.0151,0.984,0.995
Gm43581,-0.0404,0.945,0.986
Gm43362,-0.19,0.775,0.945
Gm31305,-0.0218,0.963,0.991
Gm43071,-0.202,0.256,0.685
Gm33370,-0.172,0.692,0.919
Gm19708,-0.0843,0.824,0.959
Gm42878,0.155,0.444,0.814
Gm43244,0.577,0.304,0.72
BC030343,0.594,0.0326,0.305
Gm43719,0.812,0.123,0.524
Gm43759,0.423,0.112,0.507
Gm36535,0.0276,0.804,0.953
Gm43339,-0.327,0.596,0.89
Gm3716,-0.384,0.665,0.911
Gm43618,0.164,0.465,0.825
Gm7285,0.166,0.718,0.927
Gm43205,-0.303,0.448,0.817
Gm43692,0.344,0.639,0.904
Gm43359,0.515,0.0905,0.466
Gm42614,-0.0822,0.921,0.982
Gm10727,-0.214,0.36,0.763
Gm42972,0.319,0.618,0.898
Gm43379,-0.28,0.149,0.563
A930036I15Rik,-0.623,0.404,0.79
Gbp5,-0.0819,0.456,0.821
C130013H08Rik,-0.284,0.307,0.722
Gm43714,-0.494,0.409,0.792
Gm42913,0.595,0.298,0.716
Gm42436,0.138,0.87,0.968
Gm43136,0.378,0.338,0.745
Iglc3,-3.51,0.00666,0.141
Gm43080,0.145,0.381,0.777
Gm42971,1.05,0.269,0.694
Gm43300,-0.596,0.168,0.589
4633401B06Rik,-0.385,0.26,0.687
Gm42725,-0.0489,0.926,0.983
Igkv2-109,-4.04,0.242,0.67
Gm43513,0.24,0.696,0.921
Gm42501,-0.00344,0.994,0.998
Gm42615,-0.0917,0.899,0.976
Gm43272,-0.407,0.572,0.878
Gm42611,-0.243,0.727,0.93
Gm30211,-1.97,0.269,0.694
Gm42659,0.153,0.589,0.886
Gm43328,0.105,0.739,0.934
Gm43338,-0.229,0.551,0.868
Gm43737,0.159,0.209,0.638
Gm43305,0.698,0.0636,0.405
Gm36070,-0.0589,0.932,0.984
Gm43859,0.408,0.163,0.583
Gm42819,0.227,0.501,0.842
C79130,0.133,0.597,0.891
Gm42748,-0.435,0.189,0.614
Gm43595,-0.591,0.485,0.835
Gm43088,-0.197,0.741,0.935
Gm43605,-0.488,0.651,0.908
Gm43292,-0.419,0.551,0.868
Gm5149,0.272,0.6,0.892
Gm43012,0.253,0.443,0.814
Gm42928,-0.368,0.352,0.757
D030025E07Rik,-0.26,0.784,0.948
Gm19439,-0.479,0.368,0.768
9130604C24Rik,-0.275,0.546,0.866
Gm42890,0.283,0.379,0.776
Gm42517,-0.36,0.11,0.505
Gm43766,-0.313,0.622,0.899
Gm6204,-0.17,0.807,0.954
4932422M17Rik,0.189,0.31,0.725
A230001M10Rik,-0.409,0.556,0.87
Gm42829,-0.657,0.0775,0.439
Iglc1,-2.29,0.0956,0.479
Gm43846,0.537,0.436,0.81
Gm43693,0.279,0.598,0.891
Gm43322,-0.0848,0.915,0.981
Gm42635,0.867,0.0288,0.289
Gm43570,-0.563,0.383,0.778
Gm43679,0.261,0.714,0.925
Gm43254,-0.00854,0.955,0.99
6330410L21Rik,-0.0498,0.855,0.966
Gm42432,0.126,0.688,0.918
Gm43360,-0.0788,0.804,0.953
2810428J06Rik,0.572,0.458,0.822
AI506816,-0.00435,0.958,0.99
